Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
1632,0.40399999999999997,0.35200000000000004
1633,0.503,0.503
1634,1.3,1.3
1635,2.03,2.529
1636,0.051,0.023
1637,756.28,654.996
1638,39.074,41.038864000000004
1639,13.025,12.817728
1644,0.5,0.595
1645,0.1,0.1
1646,10.8098,10.4498
1647,4.6095,4.47375
1648,5.9002,5.6813
1649,2.3053,2.1889
1650,0.379,0.24
1651,1.109,1.113
1652,1.4509999999999998,1.21
1653,16.43,12.43
1654,0.92,0.0
1655,2.2,2.12855
1656,2.4,0.0
1657,1947.0,1947.5
1665,6119.0,6118.99986
1666,0.275,0.285
1667,0.606,0.605
1668,0.0075,0.07
1671,2.307025,2.503797
1672,2.8220009999999998,2.8220009999999998
1673,4.630506,4.944503
1674,2.7235,3.304529
1675,0.193375,0.08308
1676,119.099001,122.21848600000001
1677,0.33,0.33
1683,0.048,0.048
1684,7.276,7.276
1685,16.248,16.248
1686,0.540347,0.540347
1687,0.835822,0.835822
1688,2.163072,2.163072
1689,0.108154,0.108154
1690,0.689479,0.689479
1691,1.6223040000000002,1.6223040000000002
1692,0.6272909999999999,0.6272909999999999
1693,1.2329510000000001,1.2329510000000001
1694,0.541523,0.541523
1695,1.39304,1.39304
1696,0.182509,0.182509
1697,3.2446080000000004,3.2446080000000004
1698,0.144069,0.144069
1699,6.489216000000001,6.489216000000001
1700,0.115711,0.115711
1701,0.540768,0.540768
1702,0.047588,0.047588
1703,0.547257,0.547257
1704,0.146007,0.146007
1705,0.146007,0.146007
1706,0.743556,0.743556
1707,0.005408,0.005408
1708,0.048669,0.048669
1709,2.8582919999999996,2.8582919999999996
1710,12.659379,12.659379
1711,0.636808,0.636808
1712,2.947186,2.947186
1713,2.595686,2.595686
1714,0.813,0.813
1715,1.7280000000000002,1.7280000000000002
1716,1.9,1.9
1717,1.7280000000000002,1.7280000000000002
1718,1.9,1.9
1719,5.303,5.303
1720,1.9,1.9
1721,5.303,5.303
1722,1.9,1.9
1723,,
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,1.5,1.5
1734,44.690208,44.690208
1735,912.329792,912.329792
